iter	Passed	Remaining
0	149	149232
1	156	77876
2	160	53398
3	163	40730
4	167	33245
5	169	28150
6	172	24402
7	173	21536
8	175	19301
9	177	17570
10	179	16167
11	182	15035
12	183	13963
13	185	13039
14	186	12274
15	188	11583
16	189	10963
17	190	10395
18	191	9880
19	192	9439
20	194	9054
21	195	8682
22	196	8355
23	197	8029
24	198	7742
25	199	7472
26	200	7218
27	201	6984
28	201	6761
29	202	6554
30	203	6359
31	204	6176
32	204	6004
33	205	5843
34	206	5698
35	208	5576
36	209	5462
37	210	5335
38	211	5216
39	212	5103
40	213	4993
41	214	4887
42	215	4785
43	215	4688
44	216	4594
45	217	4505
46	217	4419
47	218	4337
48	219	4258
49	220	4197
50	222	4141
51	224	4087
52	225	4021
53	226	3963
54	227	3910
55	228	3853
56	229	3796
57	230	3742
58	231	3689
59	232	3636
60	232	3584
61	233	3536
62	234	3494
63	236	3455
64	237	3417
65	238	3373
66	239	3336
67	240	3298
68	241	3261
69	242	3221
70	243	3181
71	243	3143
72	244	3106
73	245	3070
74	246	3034
75	246	3000
76	247	2966
77	250	2962
78	251	2934
79	252	2904
80	254	2882
81	254	2853
82	255	2820
83	256	2791
84	256	2763
85	257	2736
86	258	2709
87	258	2682
88	259	2657
89	260	2632
90	261	2607
91	261	2585
92	263	2568
93	265	2559
94	266	2540
95	268	2524
96	269	2504
97	269	2482
98	270	2461
99	271	2440
100	271	2420
101	272	2400
102	273	2380
103	274	2361
104	274	2342
105	275	2323
106	276	2305
107	277	2288
108	278	2275
109	279	2262
110	280	2250
111	281	2233
112	282	2216
113	283	2201
114	284	2185
115	284	2169
116	285	2153
117	286	2138
118	286	2123
119	287	2108
120	288	2093
121	288	2078
122	289	2064
123	290	2050
124	291	2037
125	292	2029
126	293	2020
127	295	2010
128	295	1997
129	296	1985
130	297	1974
131	298	1963
132	299	1951
133	300	1939
134	301	1928
135	301	1917
136	302	1906
137	303	1894
138	304	1883
139	304	1871
140	305	1860
141	306	1850
142	307	1841
143	308	1834
144	309	1823
145	310	1813
146	310	1803
147	311	1794
148	312	1784
149	313	1775
150	313	1765
151	314	1755
152	315	1745
153	316	1736
154	316	1727
155	317	1718
156	318	1708
157	318	1699
158	319	1691
159	320	1683
160	321	1676
161	322	1669
162	323	1661
163	324	1652
164	324	1644
165	325	1637
166	326	1628
167	327	1621
168	328	1613
169	328	1605
170	329	1597
171	330	1589
172	331	1582
173	331	1575
174	332	1567
175	333	1560
176	333	1552
177	335	1548
178	337	1549
179	338	1543
180	340	1539
181	341	1534
182	342	1527
183	343	1521
184	343	1515
185	344	1508
186	345	1502
187	346	1496
188	347	1490
189	348	1484
190	348	1478
191	350	1473
192	351	1468
193	352	1463
194	353	1457
195	353	1451
196	354	1446
197	355	1440
198	356	1434
199	357	1428
200	357	1422
201	358	1417
202	359	1411
203	360	1406
204	361	1400
205	361	1395
206	362	1389
207	363	1385
208	366	1386
209	368	1384
210	369	1380
211	370	1376
212	371	1373
213	373	1370
214	374	1365
215	375	1361
216	376	1358
217	377	1355
218	379	1354
219	381	1353
220	382	1349
221	383	1344
222	384	1341
223	386	1337
224	387	1333
225	388	1329
226	389	1324
227	389	1320
228	390	1315
229	391	1311
230	392	1306
231	393	1304
232	398	1312
233	434	1422
234	435	1418
235	437	1415
236	438	1411
237	439	1407
238	441	1404
239	466	1475
240	467	1471
241	468	1466
242	469	1462
243	470	1457
244	471	1453
245	472	1449
246	473	1444
247	476	1445
248	478	1441
249	479	1438
250	480	1434
251	481	1430
252	483	1426
253	484	1422
254	485	1417
255	486	1413
256	487	1409
257	499	1435
258	500	1431
259	501	1427
260	502	1423
261	503	1418
262	504	1413
263	506	1410
264	507	1408
265	509	1404
266	526	1445
267	527	1441
268	529	1438
269	530	1434
270	531	1430
271	533	1426
272	534	1422
273	535	1419
274	537	1416
275	538	1413
276	539	1408
